id,title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
2603,Blunt Force Trauma,2015,Not Rated,,Action,,,,Ken Sanzel,,
2604,Blumenthal,2014,Not Rated,,Comedy,,,,Seth Fisher,Mark Blum,
2605,Bluff,2010,,,Comedy,,,,,,
2606,Bluff Master,2005,Not Rated,,Comedy,,,,,,"$3,285,156"
2607,Bluebird,2015,Not Rated,91 minutes,Drama,,,,Lance Edwards,Amy Morton,
2608,The Blues Brothers,1980,R,133 minutes,Musical,,,,John Landis,"John Belushi,Dan Aykroyd",
2609,Blueprint,2018,,76 minutes,Drama,,,,Daryl Wein,,
2610,Blues Brothers 2000,1998,PG-13,,Comedy,,,,John Landis,,
2611,Blue Velvet,1986,,120 minutes,Thriller/Suspense,,,,David Lynch,,"$8,612,438"
2612,Blue Valentine,2010,NC-17,120 minutes,Drama,,,,Derek Cianfrance,"Ryan Gosling,Michelle Williams","$16,566,240"
2613,Blue Thunder,2017,,,Action,,,,,,
2614,Mister Frost,1990,,,,,,,,,
2615,The Blue Tooth Virgin,2009,R,,,,,,,,
2616,Mister Cinderella,1936,,75 minutes,Comedy,,,,,,
2617,Mister FelicitÃ,2016,,90 minutes,Comedy,,,,Alessandro Siani,,"$10,730,568"
2618,Mister Foe,2008,R,,Drama,,,,,,
2619,Mister,2017,,160 minutes,Drama,,,,Srinu Vaitla,,"$6,680"
2620,Mistaken for Strangers,2014,Not Rated,75 minutes,Documentary,,,,Tom Berninger,,"$248,397"
2621,Mississippi Masala,1992,R,,Drama,,,,Mira Nair,Denzel Washington,
2622,The Missouri Breaks,1976,,,,,,,Arthur Penn,Jack Nicholson,
2623,The Missionary,1982,,,Comedy,,,,Richard Loncraine,,
2624,Mississippi Grind,2015,R,108 minutes,Drama,,,,Anna Boden,"Ryan Reynolds,Ben Mendelsohn","$448,641"
2625,Mississippi Burning,1988,R,,Drama,,,,Alan Parker,"Gene Hackman,Willem Dafoe",
2626,Mississippi Mermaid,1999,R,,Drama,,,,FranÃ§ois Truffaut,,"$2,627,795"
2627,The Mist,2007,R,126 minutes,Horror,,,,Frank Darabont,"Thomas Jane,Marcia Gay Harden,Andre Braugher","$57,189,408"
2628,Prom Night,1980,,,,,,,,,
2629,The Projected Man,1967,,,Horror,,,,Ian Curteis,,
2630,Project XX,2014,,,Comedy,,,,,,
2631,Prom Night,2008,PG-13,87 minutes,Horror,,,,,Brittany Snow,"$57,193,655"
2632,Project X27,2010,,,Horror,,,,,,
2633,Project X,1987,,,Comedy,,,,,,
