id,title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
0,Effects,2005,,,,,,,Dusty Nelson,,
1,Ek Haseena Thi Ek Deewana Tha,2017,,105 minutes,Drama,,,,Suneel Darshan,,"$149,491"
2,Ekk Albela,2016,,,Drama,,,,Shekhar Sartandel,,"$1,907"
3,The Daisy Chain,2009,R,,,,,,,,
4,Dali & I: The Surreal Story,2011,,,Drama,,,,Andrew Niccol,Al Pacino,
5,Hacienda Classical: The Classical Rave,2016,,95 minutes,Documentary,,,,,,"$1,338"
6,Haevnen,2011,R,113 minutes,Drama,,,,Susanne Bier,"Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,William Johnk Nielsen","$15,867,314"
7,Hacksaw Ridge,2016,R,138 minutes,Drama,,,,Mel Gibson,Andrew Garfield,"$158,701,644"
8,Haeundae,2010,R,,,,,,,,"$64,733,391"
9,Haganenet,2015,Not Rated,119 minutes,Drama,,,,Nadav Lapid,"Sarit Larry,Avi Shnaidman","$129,165"
10,Half Past Dead,2002,PG-13,,Action,,,,,Steven Seagal,"$19,233,280"
11,Hamlet,1996,PG-13,,Drama,,,,,Kenneth Branagh,"$7,129,670"
12,Hammersmith Is Out,1972,,,,,,,,,
13,Home is Where the Heart Is,2014,PG-13,115 minutes,Drama,,,,Rajeev Dassani,,
14,Home Movies,1980,,,,,,,,,
15,A Home of Our Own,1993,Not Rated,,,,,,Tony Bill,,
16,Home Invasion,2016,PG-13,88 minutes,Action,,,,David Tennant,,
17,Home is Burning,2017,,,Drama,,,,Jonathan Levine,,
18,Home Movie,2002,Not Rated,,,,,,,,
19,Home Fries,1998,PG-13,91 minutes,Black Comedy,,,,Dean Parisot,Drew Barrymore,
20,Home of the Brave,2007,R,106 minutes,Drama,,,,Irwin Winkler,"Samuel L. Jackson,Jessica Biel,Brian Presley,Curtis ""50 Cent"" Jackson",
21,Home Delivery,2005,Not Rated,,Comedy,,,,,,
22,Home for the Holidays,1995,PG-13,104 minutes,Comedy,,,,Jodie Foster,Holly Hunter,"$22,119,269"
23,Home Alone: The Holiday Heist,2013,Not Rated,87 minutes,Adventure,,,,Peter Hewitt,,
24,Home Before Midnight,2014,,,Drama,,,,Pete Walker,,
25,"Distant Voices, Still Lives",1988,,85 minutes,Drama,,,,Terence Davies,,"$44,963"
26,A Home at the End of the World,2004,R,,Drama,,,,,,"$1,033,810"
27,Home Alone III,1997,PG,,Comedy,,,,,,
28,Distant,2004,Not Rated,,Drama,,,,,,
29,The Horror Show,1989,,,,,,,,,
30,The Horror Network,2015,Not Rated,,Horror,,,,Brian Dorton,,
31,Hors de Prix,2008,PG-13,104 minutes,Comedy,,,,,Audrey Tautou,"$26,980,663"
32,Hors la loi,2010,R,138 minutes,Drama,,,,Rachid Bouchareb,"Jamel Debbouze,Roschdy Zem,Sami Bouajila","$1,459,269"
33,Horror Hotel: The Movie,2017,,,Comedy,,,,Ricky Hess,,
34,Hoshi Mamoru Inu,2011,,,Drama,,,,,,"$7,772,082"
35,The Hospital,1971,PG-13,,,,,,,,
36,Hot Fuzz,2007,R,121 minutes,Comedy,,,,Edgar Wright,"Simon Pegg,Nick Frost","$81,742,618"
37,The House on Sorority Row,1983,,,Horror,,,,,,
38,The House on Pine Street,2015,,111 minutes,Horror,,,,Aaron Keeling,,"$41,355"
39,Housebound,2014,Not Rated,109 minutes,Comedy,,,,Gerard Johnstone,"Morgana O'Reilly,Rima Te Wiata,Glen-Paul Waru,Cameron Rhodes","$236,863"
40,Houses of Deceit,2017,,,Drama,,,,Gavin O'Connor,,
41,House on Haunted Hill,1999,R,92 minutes,Horror,,,,William Malone,"Taye Diggs,Ali Larter,Bridgette Wilson,Peter Gallagher","$65,090,541"
42,"Houston, We Have a Problem!",2016,,88 minutes,Drama,,,,Ziga Virc,,"$95,384"
43,HouseSitter,1992,PG,,Comedy,,,,Frank Oz,"Steve Martin,Goldie Hawn","$94,900,635"
44,How Much Does Your Building Weigh Mr. Foster?,2012,Not Rated,80 minutes,Drama,,,,Lopez Amado,,"$303,223"
45,Hulchul,2004,Not Rated,,Comedy,,,,,,
46,The Human Contract,2009,,,,,,,,Jason Clarke,
47,The Human Comedy,1998,Not Rated,117 minutes,Drama,,,,Clarence Brown,Mickey Rooney,
48,The Human Stain,2003,R,,Drama,,,,Robert Benton,Nicole Kidman,"$19,379,387"
49,Human Condition Trilogy,2008,,,Drama,,,,,,
50,The Human Scale,2013,Not Rated,,Documentary,,,,Andreas Dalsgaard,,
51,The Human Resources Manager,2011,Not Rated,103 minutes,Drama,,,,Eran Riklis,"Mark Ivanir,Guri Alfi",
52,Hunt to Kill,2010,R,,,,,,,,"$160,867"
53,Hwanghae,2010,R,,Drama,,,,,,
54,HyvÃ¤ postimies,2017,,81 minutes,Documentary,,,,Tonislav Hristov,,
55,Drop Everything,2017,Not Rated,57 minutes,Documentary,,,,Scott Gaffney,,
56,The Drop-Out,2011,,,Comedy,,,,,,
57,Drop Dead Gorgeous,1999,PG-13,,Comedy,,,,,Kirsten Dunst,
58,Dschungelkind,2010,,,Adventure,,,,,,"$2,911,348"
59,Duel in the Sun,1946,Not Rated,145 minutes,Western,,,,King Vidor,,
60,Dus Kahaniyaan,2007,Not Rated,,Adventure,,,,,,"$1,571,158"
61,The Dwarf,2017,,,Drama,,,,Brad Anderson,,
62,DysFunkTional Family,2003,R,,Documentary,,,,George Gallo,,
63,Dying Young,1991,R,,Drama,,,,Joel Schumacher,Julia Roberts,"$81,264,473"
64,Dying to Do Letterman,2012,,,Documentary,,,,Joke Fincioen,,
65,Dylan Dog: Dead of Night,2011,PG-13,107 minutes,Horror,,,,Kevin Munroe,Brandon Routh,"$6,093,725"
66,Drum Corps at the Movies: 2012 DCI Tour Premiere,2012,,,Concert/Performance,,,,,,
67,Cottage Country,2013,,91 minutes,Thriller/Suspense,,,,,,"$22,363"
68,Cowboys and Angels,2004,PG,105 minutes,Comedy,,,,,,
69,Crazy Rich Asians,2018,PG-13,,Comedy,,,,Jon M. Chu,,
70,Courageous,2011,PG-13,129 minutes,Drama,,,,Alex Kendrick,"Alex Kendrick,Kevin Downes,Ken Bevel,Renee Jewell","$35,185,884"
71,The Craigslist Killer,2011,,,Drama,,,,Stephen Kay,,
72,Crazy Famous,2018,,,Comedy,,,,Paul Jarrett,,
73,Crazy Eyes,2012,Not Rated,96 minutes,Drama,,,,Adam Sherman,"Lukas Haas,Madeline Zima",
74,"Crime, A",2006,R,,Drama,,,,,,
75,The Crooked Man,2017,,,,,,,Jesse Holland,,
76,Cuba Feliz,2002,Not Rated,,,,,,,,
77,The Crow: City of Angels,1996,R,,Action,,,,,,
78,Cuba,2018,,,Documentary,,,,Peter Chang,,
79,The Cruelest Miles,2011,,,Drama,,,,,,
80,Boy's Briefs 4,2006,Not Rated,,,,,,,,
81,Cuba,1979,,,Action,,,,,,
82,Czech Dream,2007,Not Rated,,,,,,,,
83,Breaking Free,1995,,,,,,,,,
84,Broken Mile,2017,,82 minutes,Thriller/Suspense,,,,Justin McConnell,,
85,Broken Memories,2015,,,,,,,Michael Worth,,
86,Bring It On: All or Nothing,2006,,,,,,,,,
87,Broken Lines,2008,R,,Drama,,,,,,
88,A Brony Tale,2014,,78 minutes,Documentary,,,,Brent Hodge,,
89,Brothers in Arms,2011,,,Drama,,,,,,
90,The Bronze,2016,R,108 minutes,Black Comedy,,,,Bryan Buckley,Melissa Rauch,
91,Buddha Heads,2002,Not Rated,,Drama,,,,,,
92,Byutopul Tumorou,2016,,,Documentary,,,,Jang Jae-hyuk,,"$507,138"
93,Byzantium,2013,R,118 minutes,Thriller/Suspense,,,,Neil Jordan,Gemma Arterton,"$92,544"
94,ByÃ´soku 5 senchimÃªtoru,2006,,63 minutes,Drama,,,,Makoto Shinkai,,"$228,393"
95,Byeon-ho-in,2014,Not Rated,127 minutes,Drama,,,,Woo-seok Yang,"Song Kang-ho,ê¹€ì˜�ì•  (Kim Young-ae),Dal-su Oh,Kwak Do-won","$76,988,372"
96,Bye Bye Patty,2010,,,Concert/Performance,,,,,,
97,Bye Bye Love,1995,PG-13,,Comedy,,,,,,
98,Bye Bye Birdie,1963,,,Musical,,,,,,
99,The Bye Bye Man,2017,PG-13,96 minutes,Thriller/Suspense,,,,Stacy Title,"Douglas Smith,Lucien Laviscount,Cressida Bonas,Doug Jones","$25,863,405"
100,By Virtue Fall,2011,,,Drama,,,,,,
101,By the Shortest of Heads,1915,Not Rated,58 minutes,,,,,,,
102,By the People: The Election of Barack Obama,2010,,,Documentary,,,,,,
103,By the Gun,2014,R,109 minutes,Drama,,,,James Mottern,Ben Barnes,
104,By Sidney Lumet,2016,,103 minutes,Documentary,,,,Nancy Buirski,,
105,By the Sea,2015,R,122 minutes,Drama,,,,Angelina Jolie Pitt,"Brad Pitt,Angelina Jolie Pitt","$3,727,746"
106,By Our Selves,2015,,,Documentary,,,,Andrew Knotting,,"$10,986"
107,By Hook or by Crook,2002,Not Rated,,Drama,,,,,,
108,By Any Means Necessary,2011,,,Action,,,,,,
109,BWOY,2017,,,,,,,John G. Young,,
110,Buzzkill,2012,Not Rated,90 minutes,Comedy,,,,Steven Kampmann,Daniel Raymont,
111,Buzzard,2015,Not Rated,97 minutes,Black Comedy,,,,Joel Potrykus,Joshua Burge,
112,BÃ¼yÃ¼ 2,2017,,90 minutes,Horror,,,,Adnan GÃ¼ler,,"$194,832"
113,Buying the Cow,2002,R,88 minutes,Romantic Comedy,,,,Walt Becker,Jerry O'Connell,
114,Buttermilk Sky,2012,,,,,,,,,
115,The Butterfly Tree,2017,,120 minutes,Drama,,,,Priscilla Cameron,,"$3,041"
116,Butterfly on a Wheel,2007,R,,Drama,,,,Mike Barker,,
117,The Butterfly Room,2014,Not Rated,87 minutes,Thriller/Suspense,,,,Jonathan Zarantonello,,
118,Butterfly Kiss,1996,,,Thriller/Suspense,,,,Michael Winterbottom,,
119,The Butterfly God,2016,,,Drama,,,,Jay Russell,,
120,"Butterfly Effect 3: Revelations, The",2009,,,,,,,,,
121,Butterfly Girl,2015,Not Rated,78 minutes,Documentary,,,,Cary Bell,,
122,The Butterfly Effect 2,2006,,,,,,,,,
123,The Butterfly Effect,2004,R,114 minutes,Thriller/Suspense,,,,,,"$95,638,592"
124,Butterfly,2001,Not Rated,,,,,,,,
125,Butterfly,2010,,,Horror,,,,Edward E. Romero,,
126,Butterfingers,2019,,,,,,,Barnaby Southcombe,,
127,BUtterfield 8,1960,Not Rated,109 minutes,,,,,,,
128,Buttercup Bill,2014,,,Drama,,,,Remy Bennett,,"$6,037"
129,Buttercup,2011,,,Drama,,,,,,
130,Mythica: The Necromancer,2016,,,Adventure,,,,,,
131,Butter,2012,R,90 minutes,Comedy,,,,Jim Field Smith,"Jennifer Garner,Ty Burrell,Olivia Wilde,Rob Corddry,Alicia Silverstone,Hugh Jackman","$104,706"
132,Mythica: the Darkspore,2016,,108 minutes,Adventure,,,,,"Melanie Stone,Kevin Sorbo",
133,Myth of the American Sleepover,2011,Not Rated,96 minutes,Drama,,,,David Robert Mitchell,"Marlon Morton,Amanda Bauer,Claire Sloma,Brett Jacobsen,Jade Ramsey,Nikita Ramsey",
134,The Myth of Fingerprints,1997,R,,,,,,,,
135,Mystic Pizza,1988,R,,Comedy,,,,Donald Petrie,Julia Roberts,
136,The Mystic Masseur,2002,PG,,,,,,,,
137,The Butcher's Wife,1991,PG-13,,Comedy,,,,,"Demi Moore,Jeff Daniels,George Dzundza",
138,Butcher Boys,2013,R,88 minutes,Horror,,,,,Ali Faulkner,
139,Mystic River,2003,R,137 minutes,Drama,,,,Clint Eastwood,"Sean Penn,Tim Robbins,Kevin Bacon","$156,822,020"
140,The Butcher Boy,1998,R,,Drama,,,,Neil Jordan,,
141,Butch Cassidy and the Sundance Kid,1969,PG,112 minutes,Western,,,,George Roy Hill,"Paul Newman,Robert Redford",
142,Butch and Sundance: The Early Days,1979,,,Western,,,,,,
143,Lee Daniels' The Butler,2013,PG-13,132 minutes,Drama,,,,Lee Daniels,Forest Whitaker,"$177,025,498"
144,But I'm a Cheerleader,2000,R,,Comedy,,,,,,"$2,509,344"
145,But Deliver Us From Evil,2018,Not Rated,119 minutes,Horror,,,,Joshua Coates,,
146,Bustin' Loose,1981,,,Comedy,,,,,,
147,A Busy Night,2016,Not Rated,91 minutes,Comedy,,,,Li Wang,,"$1,160,000"
148,Bustin' Down the Door,2008,Not Rated,,Documentary,,,,,Edward Norton,
149,Bustin' Bonaparte,2005,,,,,,,,,
150,Busterâ€™s Mal Heart,2017,Not Rated,96 minutes,Thriller/Suspense,,,,Sarah Adina Smith,Rami Malek,
151,Mystery Train,1989,,,Comedy,,,,Jim Jarmusch,,
152,Buster,1988,,,Comedy,,,,,,
153,Mystery of the Nile,2005,,,Documentary,,,,,,
154,Mystery Science Theatre 3000,1996,PG-13,,Comedy,,,,,,
155,Mystery Date,1991,PG-13,,Comedy,,,,,,
156,Mystery Team,2009,R,,Comedy,,,,Dan Eckman,,
157,Mystery Men,1999,PG-13,121 minutes,Comedy,,,,,Ben Stiller,"$33,462,011"
158,Mysterious Ways,2015,,,Drama,,,,Dan Garcia,,
159,Mysterious Skin,2005,Open,,Drama,,,,Gregg Araki,,"$2,148,548"
160,"Mystery, Alaska",1999,R,119 minutes,Comedy,,,,Jay Roach,"Russell Crowe,Hank Azaria,Mary McCormack,Lolita Davidovich,Ron Eldard,Colm Meaney,Maury Chaykin,Burt Reynolds",
161,Mysteries of the Unseen World,2013,,,Documentary,,,,,,"$332,944"
162,The Mysteries of Pittsburgh,2009,R,,Drama,,,,Rawson Marshall Thurber,,
163,Mysteria,2011,,,,,,,Lucius C. Kuert,,
164,Le mystÃ¨re Picasso,1957,,78 minutes,Documentary,,,,,,
165,Myra Breckinridge,1970,,,,,,,,,
166,Busted,2013,R,,,,,,,,
167,Mysteries of Egypt,1998,Not Rated,,Documentary,,,,,"Omar Sharif,Kate Maberly","$90,000,000"
168,The Business of Strangers,2001,R,,Drama,,,,,,"$1,290,920"
169,The Business of Fancy Dancing,2002,Not Rated,,Drama,,,,,,
170,The Business of Being Born,2008,Not Rated,,Documentary,,,,,Ricki Lake,
171,The Business of Amateurs,2017,,,Documentary,,,,Bob DeMars,,
172,A Business Affair,1995,R,,Comedy,,,,,,
173,Bushwick,2017,,104 minutes,Thriller/Suspense,,,,Cary Murnion,"Brittany Snow,Dave Bautista",$42
174,Bushwhacked,1995,PG-13,,Comedy,,,,,,
175,Bushido Man: Seven Deadly Battles,2014,,,Action,,,,Takanori Tsujimoto,,
176,Bush's Brain,2004,PG-13,,Documentary,,,,,,
177,Bushi no ichibun,2007,Not Rated,,Drama,,,,,,"$24,724,488"
178,Buscando un SueÃ±o,1997,,,Drama,,,,,,
179,Busco Novio Para Mi Mujer,2016,PG-13,92 minutes,Romantic Comedy,,,,Enrique Begne,"Sandra Echeverria,Arath De La Torre","$4,585,393"
180,Mykyta kozhumyaka,2016,,85 minutes,Adventure,,,,,,"$803,043"
181,Busanhaeng,2016,Not Rated,118 minutes,Horror,,,,Sang-ho Yeon,Yoo Gong,"$98,458,103"
182,Myeong-ryang,2014,Not Rated,127 minutes,Action,,,,Han-Min Kim,Choi Min-sik,"$133,450,917"
183,Myeoneuri: My Son's Crazy Wife,2017,,80 minutes,Documentary,,,,,,"$142,736"
184,My Year Without Sex,2010,Not Rated,,Comedy,,,,,,
185,My Year With Helen,2017,,93 minutes,Documentary,,,,Gaylene Preston,,"$199,226"
186,My Winnipeg,2008,Not Rated,,Documentary,,,,,,
187,My Wife Maurice,2004,Not Rated,,Comedy,,,,,,
188,My Wife is an Actress (Ma Femme est une Actrice),2002,R,,Comedy,,,,,,
189,My Wife is a Superstar,2015,,,Romantic Comedy,,,,Shirley Yung Sau-Lau,,"$200,000"
190,My War,2016,,,Drama,,,,Oxide Pang Chun,,"$5,110,000"
191,My Voyage to Italy,2001,PG-13,,,,,,,,
192,My Week with Marilyn,2011,R,99 minutes,Drama,,,,Simon Curtis,Michelle Williams,"$34,240,572"
193,My Tutor Friend 2,2007,,,,,,,,,"$2,952,412"
194,Bus Stop,1956,,96 minutes,Comedy,,,,,,
195,My Uncle Rafael,2012,PG-13,103 minutes,Comedy,,,,Marc Fusco,"Vahik Pirhamzei,John Michael Higgins,Missi Pyle,Anthony Clark,Joe Lo Truglio,Rachel Blanchard",
196,Burying the Ex,2015,R,89 minutes,Black Comedy,,,,Joe Dante,"Anton Yelchin,Ashley Greene,Alexandra Daddario","$604,517"
197,Burtâ€™s Buzz,2014,Not Rated,88 minutes,Documentary,,,,Jody Shapiro,,
198,Burst Theory,2016,,,,,,,Zac Page,,
199,Burroughs: The Movie,2015,,,Documentary,,,,Howard Brookner,,
200,Burns,2011,,,Drama,,,,,,
201,The Burning Plain,2009,R,,Drama,,,,,"Charlize Theron,Kim Basinger","$1,167,092"
202,Burning Palms,2011,R,112 minutes,Black Comedy,,,,Christopher Landon,"Lake Bell,Robert Hoffman,Rosamund Pike,Zoe Saldana,Nick Stahl,Paz Vega",
203,Burning Bright,2010,PG-13,,Horror,,,,,Briana Evigan,
204,Burning Man,2011,,,Drama,,,,Jonathan Teplitzky,,"$13,879"
205,Burnt,2015,R,100 minutes,Comedy,,,,John Wells,Bradley Cooper,"$32,632,668"
206,Burning Blue,2014,R,,Drama,,,,D.M.W. Greer,,
207,Burning Bodhi,2016,R,93 minutes,Drama,,,,Matthew McDuffie,"Kaley Cuoco,Meghann Fahy,Cody Horn,Landon Liboiron,Sasha Pieterse,Eli Vargas,Virginia Madsen",
208,The Burning Bed,2017,Not Rated,,,,,,Robert Greenwald,,
209,My Tiny Universe,2004,,,Romantic Comedy,,,,Lucy Phillips,"John Heard,Lesley Ann Warren,Andy Comeau,Debi Mazar",
210,My Sweet Pepper Land,2013,,,Drama,,,,Hiner Saleem,,"$35,899"
211,My Tutor,1983,,,Comedy,,,,,,
212,My Teacher's Wife,1999,,,Romantic Comedy,,,,Bruce Leddy,,
213,My Summer of Love,2005,R,,Drama,,,,,,"$4,727,375"
214,Archie's Final Project,2010,,105 minutes,Drama,,,,David Lee Miller,"Gabrial Sunday,Brooke Nevin",
215,My Super Ex-Girlfriend,2006,PG-13,,Comedy,,,,Ivan Reitman,,"$60,772,856"
216,My Suicidal Sweetheart,2005,,,Drama,,,,,,
217,The Burrowers,2009,,,,,,,,,
218,My Stepmother Is an Alien,1988,PG-13,,Comedy,,,,Richard Benjamin,,
219,My Son the Fanatic,1999,R,,,,,,,,
220,My Soul to Take,2010,R,107 minutes,Horror,,,,Wes Craven,"Max Thieriot,Denzel Whitaker,Raul Esparza,Shareeka Epps,John Magaro,Zena Grey,Nick Lashaway,Paulina Olszynski","$16,727,470"
221,My Son,2013,R,,Drama,,,,,,
222,"My Son, My Son, What Have Ye Done?",2009,R,,,,,,Werner Herzog,,
223,Burning Annie,2007,,,Comedy,,,,,,
224,My Sexiest Year,2009,,,,,,,,Frankie Muniz,
225,Burn Your Maps,2017,PG-13,102 minutes,Adventure,,,,Jordan Roberts,,
226,Burn Site,2016,,,Thriller/Suspense,,,,Fernando Coimbra,,
227,My Sister's Keeper,2009,PG-13,109 minutes,Drama,,,,Nick Cassavetes,"Cameron Diaz,Abigail Breslin","$96,673,002"
228,Burn on the Bayou,2015,,,Documentary,,,,Matt Leonard,,
229,Burn Burn Burn,2015,,96 minutes,Drama,,,,Chanya Button,,"$19,923"
230,Burn Country,2016,Not Rated,102 minutes,Drama,,,,Ian Olds,"Dominic Rains,Melissa Leo,James Franco,Rachel Brosnahan,Thomas Jay Ryan",
231,Burlesque: Heart of the Glitter Tribe,2017,Not Rated,76 minutes,Documentary,,,,Jon Manning,,
232,Burn,2012,Not Rated,86 minutes,Documentary,,,,Tom Putnam,,
233,Burma VJ,2009,,,,,,,,,
234,Burn After Reading,2008,R,97 minutes,Black Comedy,,,,Joel Coen,"George Clooney,Frances McDormand,John Malkovich,Tilda Swinton,Brad Pitt","$168,167,798"
235,Burlesk King,2000,Not Rated,,Drama,,,,,,
236,Burke & Hare,2011,R,92 minutes,Black Comedy,,,,John Landis,"Simon Pegg,Andy Serkis","$1,507,806"
237,My Scientology Movie,2017,Not Rated,100 minutes,Documentary,,,,John Dower,,"$2,215,428"
238,Burlesque,2010,PG-13,116 minutes,Drama,,,,Steven Antin,"Cher,Christina Aguilera","$90,552,675"
239,My Sassy Girl,2008,PG-13,,Comedy,,,,Yann Samuell,,
240,My Science Project,1985,,,Comedy,,,,,,
241,My Reincarnation,2011,R,82 minutes,Documentary,,,,Jennifer Fox,,"$96,115"
242,My Pure Land,2017,,92 minutes,Drama,,,,Sarmad Masud,,"$19,599"
243,My Pet Dinosaur,2017,,98 minutes,Action,,,,Matt Drummond,,"$155,210"
244,My Perfect Romance,2017,PG,,Drama,,,,Justin G. Dyck,,
245,My Own Private Idaho,1991,R,,Black Comedy,,,,Gus Van Sant,Keanu Reeves,
246,My Perestroika,2011,Not Rated,87 minutes,Documentary,,,,Robin Hessman,,
247,My Own Love Song,2011,PG-13,,Romantic Comedy,,,,,,"$5,978"
248,My Other Home,2017,,110 minutes,Drama,,,,,,"$960,000"
249,My New Sassy Girl,2015,,99 minutes,Romantic Comedy,,,,Jo Geun-sik,,"$5,552,129"
250,My Old Lady,2014,PG-13,107 minutes,Comedy,,,,Israel Horovitz,"Kevin Kline,Kristin Scott Thomas,Maggie Smith","$7,527,232"
251,Buried Child,2015,,,Drama,,,,David Horn,,
252,My One and Only,2009,PG-13,85 minutes,Comedy,,,,Richard Loncraine,"RenÃ©e Zellweger,Logan Lerman,Kevin Bacon","$3,348,954"
253,Burichi Jigoku-Hen,2012,,,Action,,,,,,
254,The Burial,2018,,,,,,,,,
255,The Burial,2011,,,Drama,,,,,,
256,Buried,2010,R,94 minutes,Thriller/Suspense,,,,Rodrigo Cortes,Ryan Reynolds,"$21,270,290"
257,Burial Rights,2018,,,Drama,,,,Luca Guadagnino,Jennifer Lawrence,
258,The Burial Society,2004,R,,Thriller/Suspense,,,,,,
259,Burglar,1987,,,Comedy,,,,Hugh Wilson,Whoopi Goldberg,
260,Burden,2016,,,Drama,,,,Andrew Heckler,,
261,Bure baruta,1999,R,,Drama,,,,,,
262,Burden,2017,Not Rated,90 minutes,Documentary,,,,Richard Dewey,,"$20,434"
263,Buradeo,2017,,102 minutes,Comedy,,,,Chang You-jeong,,"$10,910,056"
264,The `Burbs,1989,PG,102 minutes,Comedy,,,,Joe Dante,Tom Hanks,
265,Bunyan & Babe,2017,PG,,Adventure,,,,Tony Bancroft,,
266,"Il buono, il brutto, il cattivo",1967,,177 minutes,Western,,,,Sergio Leone,Clint Eastwood,
267,"Buongiorno, notte",2005,Not Rated,,Drama,,,,,,
268,My New Partner,1985,,,,,,,,,
269,My Name is Water,2014,,,,,,,Justin Arana,,
270,My Name is Tanyusha,2015,,,Adventure,,,,Harry Oram,,
271,My Name is Lenny,2017,,91 minutes,Drama,,,,Ron Scalpello,,$436
272,My Name is David,2015,Not Rated,,Drama,,,,Chris Gallego Wong,,
273,My Name is Khan,2010,PG-13,161 minutes,Drama,,,,,,"$42,355,526"
274,My Name is Joe,1999,R,,,,,,Ken Loach,,
275,My Name Is Emily,2017,Not Rated,94 minutes,Drama,,,,Simon Fitzmaurice,Evanna Lynch,"$14,993"
276,My Mother's Smile,2005,Not Rated,,Drama,,,,,,
277,My Name is Bruce,2008,R,,Horror,,,,Bruce Campbell,Bruce Campbell,
278,My Mother Likes Women,2004,Not Rated,,Comedy,,,,,,
279,My Mom's New Boyfriend,2008,PG-13,,Comedy,,,,,Meg Ryan,"$3,161,218"
280,My Many Sons,2016,,,Drama,,,,Ralph E. Portillo,,
281,My Mexican Shivah,2008,Not Rated,,Comedy,,,,,,
282,My Mistress,2015,,104 minutes,Drama,,,,Stephen Lance,,"$6,921"
283,Bunteu,2007,,,,,,,,,"$2,217,531"
284,Bunraku,2011,R,118 minutes,Action,,,,Guy Moshe,"Josh Hartnett,Woody Harrelson,Gackt,Ron Perlman,Demi Moore",
285,Bunty Aur Babli,2005,Not Rated,,Adventure,,,,,,"$7,876,721"
286,Bungaeman,2015,,72 minutes,Action,,,,,,"$428,219"
287,Bunker77,2017,Not Rated,90 minutes,Documentary,,,,Takuji Masuda,,
288,Bundy: A Legacy of Evil,2009,,,Drama,,,,,,
289,Bunch of Kunst,2017,,103 minutes,Documentary,,,,Christine Franz,,"$29,409"
290,Bundle of Joy,2010,,98 minutes,,,,,Norman Taurog,"Eddie Fisher,Debbie Reynolds",
291,A Bunch of Amateurs,2009,,,,,,,,,
292,Bumblebee,2018,,,Action,,,,Travis Knight,,
293,Bumchoiwaui junjaeng,2011,,134 minutes,Thriller/Suspense,,,,,,"$27,482,633"
294,Bullyparade: Der Film,2017,,100 minutes,Comedy,,,,Michael Bully Herbig,,"$4,789,214"
295,Bulworth,1998,R,,Comedy,,,,Warren Beatty,Warren Beatty,"$29,203,383"
296,Bullseye,1990,R,95 minutes,Comedy,,,,Michael Winner,"Michael Caine,Roger Moore,Sally Kirkland",
297,Bully,2001,R,99 minutes,Drama,,,,,,"$1,381,824"
298,My Man is a Loser,2014,R,95 minutes,Comedy,,,,Mike Young,"Michael Rapaport,Bryan Callen,John Stamos,Tika Sumpter",
299,Bully,2012,PG-13,94 minutes,Documentary,,,,Lee Hirsch,,
300,My Man Adam,1985,,,Comedy,,,,,,
301,My Love,2007,,,,,,,,,"$2,264,968"
302,"My Love, Don't Cross That River",2016,Not Rated,86 minutes,Documentary,,,,Jin Mo-young,,
303,My Little Pony Equestria Girls: Rainbow Rocks,2014,,73 minutes,Adventure,,,,,,
304,My Little Pony: The Movie,1986,,,Adventure,,,,,,
305,My Little Pony Equestria Girls: Friendship Games,2015,Not Rated,,Adventure,,,,Ishi Rudell,,"$194,807"
306,My Little Pony: Equestria Girls,2013,,70 minutes,Adventure,,,,,Ashleigh Ball,"$210,172"
307,My Little Pony: The Movie,2017,PG,99 minutes,Adventure,,,,Jayson Thiessen,"Emily Blunt,Kristin Chenoweth,Liev Schreiber,Michael PeÃ±a,Sia Furler,Taye Diggs,Uzo Aduba,Zoe Saldana","$55,573,525"
308,My Life Without Me,2003,R,,,,,,,,"$12,267,275"
309,My Life So Far,1999,PG-13,,Drama,,,,Hugh Hudson,,
310,My Life in Ruins,2009,PG-13,95 minutes,Romantic Comedy,,,,Donald Petrie,,"$20,477,425"
311,Bullies,1986,,,Action,,,,,,
312,Bullrider,2006,,,Documentary,,,,,,
313,Bullitt,1968,M/PG,114 minutes,Action,,,,Peter Yates,Steve McQueen,
314,Bullets Over Broadway,1994,R,,Comedy,,,,Woody Allen,John Cusack,
315,Bulletproof,1988,,,Action,,,,,,
316,El Bulli: Cooking in Progress,2011,Not Rated,108 minutes,Documentary,,,,Gereon Wetzel,,"$595,934"
317,Bulletproof Monk,2003,PG-13,,Action,,,,Paul Hunter,"Chow Yun-Fat,Seann William Scott",
318,Bulletproof,1996,R,85 minutes,Action,,,,Ernest Dickerson,"Damon Wayans,Adam Sandler","$22,230,840"
319,Bullet Head,2017,R,93 minutes,Thriller/Suspense,,,,Paul Solet,,"$87,465"
320,Bulldog Drummond Escapes,1937,,67 minutes,Drama,,,,,,
321,Bulldog Drummond Comes Back,1937,,64 minutes,Drama,,,,,,
322,Bulanti,2015,,,Drama,,,,Zeki Demirkubuz,,
323,Bull Durham,1988,R,108 minutes,Drama,,,,Ron Shelton,"Kevin Costner,Susan Sarandon",
324,Bulandi,2000,Not Rated,,Drama,,,,,,
325,Bullet to the Head,2013,R,91 minutes,Action,,,,Walter Hill,"Sylvester Stallone,Sung Kang,Sarah Shahi,Jason Momoa","$22,597,969"
326,Bukowski: Born Into This,2004,R,,Documentary,,,,,,
